trace_id,timestamp,name,user_id,session_id,input,output,model,input_tokens,output_tokens,total_tokens,input_cost_usd,output_cost_usd,total_cost_usd,latency_seconds,metadata,tags,release,version
308792c86b8582eea8ac678178c7eb95,2025-11-18T04:59:02.833000+00:00,hello_llm,,,"{'args': [], 'kwargs': {}}","India, officially known as the Republic of India, is a vast and diverse country located in South Asia, bordered by Pakistan to the northwest, China and Nepal to the north, Bhutan to the northeast, and Bangladesh and Myanmar to the east, with the Indian Ocean to the south. It is the seventh-largest country by land area and the second-most populous country in the world, with over 1.4 billion people. India has a rich tapestry of history, culture, and geography, making it one of the most fascinating nations on the planet. The country is characterized by its remarkable diversity, with more than 2,000 distinct ethnic groups and over 1,600 spoken languages, with Hindi and English being the official languages. The Indian Constitution recognizes 22 languages under the Eighth Schedule, reflecting the linguistic plurality of the nation. India is a secular state, with a multitude of religions practiced, including Hinduism, Islam, Christianity, Sikhism, Buddhism, and Jainism, among others. This religious diversity has significantly influenced the country's culture, festivals, and social practices. The history of India dates back to the Indus Valley Civilization, one of the world's oldest urban cultures, which flourished around 2500 BCE. Over the centuries, India has seen the rise and fall of numerous empires and dynasties, including the Maurya and Gupta Empires, the Mughal Empire, and the British Raj. The struggle for independence from British colonial rule, which culminated in 1947, was marked by significant figures such as Mahatma Gandhi, who advocated for non-violent resistance, and Jawaharlal Nehru, who became the first Prime Minister of independent India. The partition of India and Pakistan in 1947 led to significant demographic changes and communal violence, shaping the socio-political landscape of the region. India is a federal parliamentary democratic republic, with a President as the head of state and a Prime Minister as the head of government. The political system is characterized by a multi-party system, with the Indian National Congress and the Bharatiya Janata Party (BJP) being the two dominant political parties. The country has a vibrant civil society and a robust judiciary, which plays a crucial role in upholding the Constitution and protecting the rights of citizens. Economically, India is classified as a newly industrialized country and is one of the world's fastest-growing major economies. The economy is diverse, encompassing agriculture, manufacturing, and services. Agriculture remains a significant sector, employing a large portion of the population, while the services sector, particularly information technology and software services, has gained prominence in recent decades. India is also known for its rich natural resources, including coal, iron ore, and various minerals, which contribute to its industrial base. The country faces several challenges, including poverty, unemployment, and inequality, but it has made significant strides in improving living standards and access to education and healthcare. India is home to a plethora of cultural heritage sites, including 40 UNESCO World Heritage Sites, such as the Taj Mahal, Qutub Minar, and the ancient city of Hampi. The country is renowned for its contributions to art, music, dance, and literature, with classical forms like Bharatanatyam and Kathak, as well as contemporary expressions in Bollywood cinema, which has a massive following both domestically and internationally. Indian cuisine is another highlight, characterized by its regional diversity and use of spices, with dishes like biryani, dosa, and various curries being popular worldwide. Festivals play a significant role in Indian culture, with major celebrations like Diwali, Holi, Eid, Christmas, and Pongal reflecting the country's religious and cultural diversity. The Indian education system is one of the largest in the world, with a mix of public and private institutions. The country has made significant progress in literacy rates, although disparities remain, particularly in rural areas. Higher education institutions, including the Indian Institutes of Technology (IITs) and Indian Institutes of Management (IIMs), are globally recognized for their quality and have produced a significant number of successful professionals in various fields. In terms of healthcare, India has a mixed healthcare system, with both public and private sectors. While the country has made strides in improving healthcare access and outcomes, challenges such as malnutrition, communicable diseases, and access to quality healthcare in rural areas persist. The COVID-19 pandemic posed significant challenges to India's healthcare system, but the country also emerged as a major producer of vaccines, contributing to global vaccination efforts. India is also known for its commitment to environmental sustainability and has made international commitments to combat climate change. The country is a signatory to the Paris Agreement and has set ambitious targets for renewable energy generation, aiming to increase its share of non-fossil fuel energy sources. However, India faces environmental challenges, including air and water pollution, deforestation, and the impacts of climate change, which require concerted efforts for sustainable development. Geopolitically, India plays a crucial role in regional and global affairs. It is a member of various international organizations, including the United Nations, BRICS, G20, and the South Asian Association for Regional Cooperation (SAARC). India has sought to strengthen its strategic partnerships with countries like the United States, Japan, and Australia, particularly in the context of regional security and economic cooperation. The country also faces complex relationships with its neighbors, particularly Pakistan and China, with ongoing territorial disputes and security concerns. In summary, India is a country of immense diversity and complexity, with a rich historical legacy and a dynamic present. Its journey from ancient civilization to a modern democratic republic is marked by resilience and adaptability. As it navigates the challenges of the 21st century, India continues to be a significant player on the global stage, contributing to cultural, economic, and political discourse while striving for inclusive growth and sustainable development.",,,,,,,0.0,28.569,"{'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.38.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'langfuse-sdk', 'version': '3.10.0', 'attributes': {'public_key': 'pk-lf-08d46561-1857-47c0-9c24-5ba0354abc4e'}}}",,,
d7b77b7f996b51f082757396cd6a96d0,2025-11-17T15:44:56.326000+00:00,hello_llm,,,"{'args': [], 'kwargs': {}}","Hello, LLM!",,,,,,,0.0,3.277,"{'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.38.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'langfuse-sdk', 'version': '3.10.0', 'attributes': {'public_key': 'pk-lf-08d46561-1857-47c0-9c24-5ba0354abc4e'}}}",,,
579803668617598a60c232bc5f585aec,2025-11-17T10:51:13.240000+00:00,hello_llm,,,"{'args': [], 'kwargs': {}}","Hello, LLM!",,,,,,,0.0,3.09,"{'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.38.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'langfuse-sdk', 'version': '3.10.0', 'attributes': {'public_key': 'pk-lf-08d46561-1857-47c0-9c24-5ba0354abc4e'}}}",,,
8e849f5ba5099d98b44d1b39f1fe6d65,2025-11-17T10:38:22.065000+00:00,hello_llm,,,"{'args': [], 'kwargs': {}}","Hello, LLM!",,,,,,,0.0,2.648,"{'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.38.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'langfuse-sdk', 'version': '3.10.0', 'attributes': {'public_key': 'pk-lf-08d46561-1857-47c0-9c24-5ba0354abc4e'}}}",,,
0d5add6c52263faed9551afa9a6c9f67,2025-11-17T10:33:18.507000+00:00,hello_llm,,,"{'args': [], 'kwargs': {}}","Hello, LLM!",,,,,,,0.0,2.873,"{'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.38.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'langfuse-sdk', 'version': '3.10.0', 'attributes': {'public_key': 'pk-lf-08d46561-1857-47c0-9c24-5ba0354abc4e'}}}",,,
5df25dd437e5b91bbe62ecf2fa417ca8,2025-11-17T10:25:50.484000+00:00,my_function,,,"{'args': [], 'kwargs': {}}","Hello, world!",,,,,,,0.0,0.001,"{'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.38.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'langfuse-sdk', 'version': '3.10.0', 'attributes': {'public_key': 'pk-lf-08d46561-1857-47c0-9c24-5ba0354abc4e'}}}",,,
104f32449b22823283e291a08352ad9d,2025-11-13T08:46:53.189000+00:00,a2a.server.request_handlers.jsonrpc_handler.JSONRPCHandler.on_message_send,self,7b128954-bcbc-40b4-a641-43fddb5fb00d,,,,,,,,,0.0,8.986,"{'attributes': {}, 'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.37.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'openinference.instrumentation.google_adk', 'version': '0.1.6', 'attributes': {}}}",,,
237df4b2e9bb479ed1cec364c5c85bc2,2025-11-13T07:03:01.342000+00:00,a2a.server.request_handlers.jsonrpc_handler.JSONRPCHandler.on_message_send,self,76d5a8d1-94b5-4eca-997e-e9622f97fdc8,,,,,,,,,0.0,10.48,"{'attributes': {}, 'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.37.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'openinference.instrumentation.google_adk', 'version': '0.1.6', 'attributes': {}}}",,,
e99c1993be628ee4c734629953f096eb,2025-11-13T06:29:56.495000+00:00,invocation [hello_app],demo-user,demo-session,"{'user_id': 'demo-user', 'session_id': 'demo-session', 'invocation_id': None, 'new_message': {'parts': [{'text': 'hi'}], 'role': 'user'}, 'state_delta': None, 'run_config': {'save_input_blobs_as_artifacts': False, 'support_cfc': False, 'streaming_mode': 'StreamingMode.NONE', 'output_audio_transcription': {}, 'input_audio_transcription': {}, 'save_live_audio': False, 'max_llm_calls': 500}}","{'content': {'parts': [{'text': 'Hello Langfuse!\n'}], 'role': 'model'}, 'finish_reason': 'STOP', 'usage_metadata': {'candidates_token_count': 5, 'candidates_tokens_details': [{'modality': 'TEXT', 'token_count': 5}], 'prompt_token_count': 40, 'prompt_tokens_details': [{'modality': 'TEXT', 'token_count': 40}], 'total_token_count': 45}, 'avg_logprobs': -0.0015199756249785422, 'invocation_id': 'e-4819ebb7-87c1-4e49-8ca6-9c3336e9da64', 'author': 'hello_agent', 'actions': {'state_delta': {}, 'artifact_delta': {}, 'requested_auth_configs': {}, 'requested_tool_confirmations': {}}, 'id': '6f7e9730-9ceb-4f71-ae16-49e4e169f762', 'timestamp': 1763015397.777323}",,,,,,,1.01e-05,2.589,"{'attributes': {'input.mime_type': 'application/json', 'user.id': 'demo-user', 'session.id': 'demo-session', 'output.mime_type': 'application/json', 'openinference.span.kind': 'CHAIN'}, 'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.37.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'openinference.instrumentation.google_adk', 'version': '0.1.6', 'attributes': {}}}",,,
abd2034a75699c8bda4a305ed2f08627,2025-11-13T06:28:35.014000+00:00,invocation [hello_app],demo-user,demo-session,"{'user_id': 'demo-user', 'session_id': 'demo-session', 'invocation_id': None, 'new_message': {'parts': [{'text': 'hi'}], 'role': 'user'}, 'state_delta': None, 'run_config': {'save_input_blobs_as_artifacts': False, 'support_cfc': False, 'streaming_mode': 'StreamingMode.NONE', 'output_audio_transcription': {}, 'input_audio_transcription': {}, 'save_live_audio': False, 'max_llm_calls': 500}}",,,,,,,,0.0,0.65,"{'attributes': {'input.mime_type': 'application/json', 'user.id': 'demo-user', 'session.id': 'demo-session', 'openinference.span.kind': 'CHAIN'}, 'resourceAttributes': {'telemetry.sdk.language': 'python', 'telemetry.sdk.name': 'opentelemetry', 'telemetry.sdk.version': '1.37.0', 'service.name': 'unknown_service'}, 'scope': {'name': 'openinference.instrumentation.google_adk', 'version': '0.1.6', 'attributes': {}}}",,,
